Team 1 Player 1;Team 1 Player 2;Team 1 Player 3;Team 1 Player 4;Team 1 Player 5;Team 2 Player 1;Team 2 Player 2;Team 2 Player 3;Team 2 Player 4;Team 2 Player 5;Match ID
2;1045;8095;8183;629;8248;5393;3631;3964;8179;2299779
7;5926;4954;7451;58;7464;7401;7398;518;7157;2213216
7;4954;7451;5926;58;7477;7471;7472;7468;7470;2218118
7;7451;4954;58;5926;128;7256;102;429;92;2220244
7;4954;5772;545;58;352;3997;7388;7467;7465;2233698
7;5772;545;58;4954;1064;3252;822;5796;1104;2239120
7;4954;58;545;5772;7401;7414;7611;7160;7161;2239638
7;429;4954;58;545;7413;7154;6796;7412;7156;2247763
7;4954;545;429;58;301;483;484;338;303;2248784
7;4954;429;58;545;2476;3741;2482;3291;1007;2248810
7;58;429;545;4954;7279;7254;7278;2123;7277;2250113
7;429;7414;2881;1889;7253;7165;102;7254;77;2290506
7;7414;2881;1889;429;8095;7156;7412;6796;7154;2291163
7;7414;7415;8151;7156;7499;7256;7323;7232;7218;2293797
7;7156;2469;8151;7415;7414;7925;5440;4282;6814;2293855
7;8151;7414;7415;922;8250;7527;2398;153;8097;2295089
7;7414;8151;922;7415;7499;7256;7218;7511;7264;2295338
7;8151;921;7964;8784;8555;1022;4020;9034;2922;2297777
7;921;8151;7964;8784;8570;5388;7369;8327;7368;2297870
7;8151;7964;921;8784;7238;5479;7775;5480;7537;2297938
7;7964;9078;545;8151;5061;5373;9149;7484;5480;2298190
7;8151;7964;9078;545;1225;7390;7170;7166;7169;2298280
7;7964;9078;545;8151;4959;7429;7167;7322;7168;2298365
7;7964;9078;5287;8151;2799;7834;8412;3183;5327;2298458
7;7964;5287;9078;8151;7368;5388;8327;8570;7369;2298631
7;8151;7964;9032;545;4954;7398;7592;429;2469;2299696
7;8151;9032;545;7154;8327;8320;8570;8321;5388;2301053
7;9032;8151;7154;545;2469;7592;7398;4954;429;2301114
7;545;7154;9032;8151;10851;9410;10852;8133;10853;2301349
7;8151;7154;545;9032;3741;2730;7256;7499;7511;2301370
7;9031;7412;922;545;5185;3329;5045;7910;3871;2303712
7;545;922;9031;7412;8786;7942;8726;1200;7402;2304083
7;9031;922;545;7412;5386;165;2553;317;161;2304133
7;922;9031;7412;545;5388;973;8323;8327;7356;2304178
7;922;545;9031;7412;9078;9032;1485;2469;7156;2304631
7;922;7412;545;9031;7169;1225;8374;7170;7390;2304903
7;7412;545;922;9031;9078;7156;9032;1485;2469;2305031
7;9031;545;922;10264;2730;7511;3997;7499;3741;2306679
7;922;9031;10264;545;884;7148;39;7527;29;2306681
7;9896;8611;8151;7415;3972;4216;2299;2476;3543;2308296
7;9896;8611;8151;7415;9616;8138;10569;13497;9656;2308884
7;9896;8611;8151;7415;7319;12782;11310;7508;7232;2308989
7;9896;8151;7415;8611;9816;7537;3894;971;7235;2309346
7;9896;8611;8151;7415;13679;8244;11271;13678;7870;2309473
7;8611;8151;9896;7415;9445;7983;10052;9443;11842;2310218
7;8611;9896;8151;7415;7168;7167;1225;8374;7322;2310298
7;8151;8611;7415;9896;8369;373;8371;9254;365;2310412
7;9896;7154;7415;8151;3669;5479;8994;7218;1378;2311256
7;9896;7154;8151;7415;11219;10762;8917;10761;11217;2311260
15;646;9297;1480;17;7700;5045;7445;10654;7958;2300925
15;17;646;9297;1480;10658;5483;5392;3070;10657;2300932
15;3964;17;9297;646;8462;9361;3144;7886;10571;2301659
15;41;17;3964;9297;972;8555;1023;9028;7722;2302564
15;8555;9089;1044;3964;12254;8983;8981;9269;7254;2307821
17;15;646;9297;1480;5391;3871;9193;8804;3332;2300957
17;11932;9148;10660;6147;3871;3329;646;5391;7910;2304529
17;646;10784;10658;7378;9256;3847;7443;9257;1146;2315395
21;7398;8394;4954;7412;5386;317;165;2553;161;2308516
29;7148;884;39;7147;7180;7178;7181;7177;7179;2164597
29;7147;39;7148;884;680;356;322;2130;7171;2164601
29;884;7148;7147;39;762;434;890;433;41;2172361
29;7148;884;7147;39;7154;7151;2469;6124;7156;2174981
29;39;884;7148;7147;1140;7380;2730;7381;7379;2186353
29;884;39;7148;7147;2304;7206;7207;7208;7205;2186479
29;39;884;7148;7147;7408;7153;4954;7149;7150;2188534
29;39;884;7148;7147;7383;7382;7384;7385;168;2193158
29;39;884;7147;7148;161;163;162;165;317;2195619
29;884;39;7147;7148;35;970;3894;713;695;2198643
29;7148;39;7147;884;7150;7408;7153;7149;4954;2202012
29;7147;7148;884;39;7265;7263;4638;7246;7267;2202522
29;884;39;7148;7147;161;162;317;165;163;2202942
29;7148;39;884;7147;1225;7391;245;150;146;2217900
29;39;884;7148;7147;7207;7205;7206;7208;2304;2225809
29;7148;39;884;7147;7388;3997;7467;7465;352;2235011
29;884;7148;39;7147;483;338;303;301;484;2236040
29;884;7148;39;7147;339;737;735;302;334;2236273
29;884;39;7148;7147;735;737;339;334;302;2239492
29;39;884;7148;7147;302;735;334;737;339;2239909
29;39;7147;7148;884;4954;7;58;545;5772;2241395
29;884;39;7148;7147;7440;7595;7596;7438;7436;2242217
29;884;39;7147;7148;2123;7277;7278;7279;7254;2248758
29;7148;39;7147;884;161;317;165;162;163;2248783
29;39;7147;7148;884;7168;7390;7170;1225;7166;2248795
29;7147;39;7148;884;1007;3741;2476;3291;2482;2249324
29;39;884;7148;7147;7;58;545;4954;429;2250720
29;7148;884;39;7147;1045;775;547;1431;2398;2251297
29;7148;884;39;7147;7527;7444;41;890;762;2251504
29;39;7148;7147;884;161;7368;2553;165;7369;2267333
29;39;7148;7147;884;735;338;339;334;483;2267334
29;7148;884;39;7147;1950;301;484;3347;303;2269598
29;39;7148;884;7147;7170;1225;7390;7168;7166;2269777
29;39;884;7147;7148;7390;7166;7170;1225;7168;2270330
29;7148;39;7147;884;7527;429;890;7444;41;2272968
29;39;7148;7147;884;1950;484;303;3347;301;2275812
29;39;7148;884;7147;7154;4954;7398;7582;7;2275889
29;39;7148;884;7147;735;338;334;483;339;2276660
29;7148;39;884;7147;1045;885;1146;2398;7528;2279213
29;7148;39;884;7147;3849;3847;3055;41;7378;2279438
29;884;39;7148;7147;7168;7170;1225;7166;7390;2290833
29;39;7147;884;7148;7156;7154;8095;7412;6796;2290871
29;39;7147;7148;884;3055;3847;3849;41;7378;2290908
29;884;7148;39;7147;823;7429;7833;7322;7391;2290928
29;884;39;7148;7147;7998;7403;472;603;607;2290954
29;884;39;7148;7147;695;7235;5479;970;713;2291162
29;884;39;7148;7147;885;7527;7528;7443;7445;2291371
29;884;7148;7147;39;7398;7592;4954;7413;7582;2291373
29;7148;39;7147;884;3847;3849;7378;41;3055;2291424
29;39;7148;884;7147;8095;7398;7582;7592;4954;2291433
29;884;7148;39;7147;7591;4959;8302;1225;7565;2291593
29;39;884;7148;7147;1045;8250;1044;434;2398;2291611
29;39;7147;884;7148;7167;7168;7170;7390;7166;2291623
29;884;39;7148;7147;7429;823;7833;7322;7391;2292128
29;884;7147;7148;39;41;3055;3849;885;7528;2292178
29;39;7148;7147;884;34;3894;7537;713;7235;2292403
29;39;7148;884;7147;302;735;334;338;339;2292494
29;7148;39;884;7147;7429;4959;1225;7168;7170;2292605
29;884;39;7148;7147;1045;7527;768;2922;2398;2292656
29;884;7148;39;7147;3849;885;3055;7528;41;2292729
29;7147;7148;884;39;7592;4954;7398;7582;8095;2292744
29;884;39;7147;7148;1225;7168;7429;7170;4959;2292884
29;7148;39;7147;884;7390;7565;7591;7708;8535;2292904
29;884;39;7148;7147;2553;161;165;5386;317;2292917
29;884;39;7148;7147;7390;7565;8424;7391;150;2293257
29;39;884;7148;7147;8372;7462;7982;8373;8374;2293349
29;39;884;7147;7148;7322;7167;7833;823;7166;2293360
29;884;7148;1045;39;128;7508;7256;7214;7246;2293444
29;7148;39;884;1045;5386;2553;161;317;165;2293488
29;7148;1045;39;884;128;7256;7508;7214;7246;2293555
29;39;1045;884;7148;7708;7390;7565;7567;7391;2293872
29;1045;39;884;7148;8564;2023;7383;8568;7382;2293969
29;884;39;695;7148;8248;8183;1485;3631;3018;2294388
29;39;884;7148;695;429;2469;4954;7592;7398;2294662
29;695;7148;39;884;3849;3055;7528;885;41;2295114
29;39;695;884;7148;8771;8745;8084;8746;8744;2295467
29;39;695;884;7148;483;2757;7594;3347;484;2295647
29;884;39;695;7148;4679;8082;8083;2555;8085;2295735
29;695;39;884;7148;2757;3347;483;7594;484;2295740
29;7148;39;695;884;161;165;5386;2553;317;2295806
29;695;884;39;7148;334;339;302;964;735;2295829
29;39;884;695;7148;7246;128;5794;7214;7218;2295988
29;884;7148;695;39;885;7528;3055;41;3849;2296360
29;884;39;695;7148;161;165;5386;2553;317;2296536
29;7148;695;39;884;7256;2730;7511;136;7499;2296748
29;884;695;7148;39;7592;7398;4954;429;2469;2296788
29;7148;884;39;695;2757;483;7594;484;3347;2296853
29;695;7148;884;39;8601;8602;8600;8604;8603;2296930
29;884;695;7148;39;8523;8137;6451;8346;8347;2297432
29;884;39;7148;695;7592;4954;429;2469;7398;2297491
29;1146;3847;1045;629;7;7964;8784;8151;921;2297557
29;1146;1045;629;3252;165;317;161;5386;2553;2297564
29;39;695;7148;884;7429;7322;7168;4959;7167;2297972
29;884;39;695;7148;41;3849;885;3055;1146;2298081
29;7148;695;884;39;3849;3055;41;885;7528;2298172
29;7148;884;695;39;1146;8183;1045;629;7443;2298281
29;884;39;7148;695;7398;429;4954;2469;7592;2298282
29;39;884;695;7148;334;302;7998;339;964;2298283
29;39;884;695;7148;7167;7322;7168;7429;4959;2298610
29;695;7148;884;39;7169;1225;7390;7166;7170;2298962
29;884;39;7148;695;4959;7167;7429;7322;7168;2299003
29;7148;884;695;39;3849;7528;1146;3055;885;2299225
29;7148;884;695;39;317;165;161;2553;5386;2299336
29;884;7148;695;39;1225;7390;7169;7170;7166;2299343
29;695;39;7148;884;7528;3055;3849;885;1146;2299526
29;695;39;7148;884;7528;3849;1146;3055;885;2299697
29;884;7527;7148;39;8248;8183;2;629;1045;2301097
29;884;7527;7148;39;9247;9245;9736;8622;9735;2301150
